iter	Passed	Remaining
0	1	156
1	3	147
2	4	138
3	5	128
4	6	126
5	7	124
6	9	124
7	10	122
8	11	120
9	13	124
10	15	127
11	17	124
12	18	122
13	19	119
14	20	118
15	22	116
16	23	114
17	24	112
18	25	110
19	27	109
20	29	109
21	30	108
22	32	107
23	33	106
24	35	105
25	36	104
26	38	103
27	39	102
28	41	100
29	42	99
30	44	98
31	46	98
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	55	87
39	57	85
40	59	85
41	60	82
42	61	81
43	62	80
44	64	78
45	66	77
46	67	76
47	69	74
48	70	73
49	72	72
50	73	70
51	74	69
52	76	67
53	77	66
54	78	64
55	80	62
56	81	61
57	82	59
58	83	58
59	85	56
60	86	55
61	88	54
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	97	43
69	99	42
70	100	40
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	29
79	114	28
80	115	27
81	116	25
82	118	24
83	119	22
84	121	21
85	122	19
86	124	18
87	125	17
88	127	15
89	128	14
90	129	12
91	130	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	142	0
